"gu","dong","car","Hyd_car","lat","lng","r1","r2","r3","r4","r1_from","r2_from","r3_from","r4_from"
"중구","을지로2가",1092,0,37.5657158,126.986263,0.079184447,0.106608327,0.108029434,0.224791746,"여의도","상암","양재","하남"
"중구","남대문로1가",18,0,37.5675948,126.9831121,0.077242295,0.103354,0.111127909,0.228197534,"여의도","상암","양재","하남"
"중구","삼각동",62,0,37.5679302,126.9847933,0.078882527,0.105017273,0.110666315,0.226591967,"여의도","상암","양재","하남"
"중구","수하동",187,0,37.5674173,126.984642,0.078509024,0.104890884,0.110275258,0.226658898,"여의도","상암","양재","하남"
"중구","장교동",158,0,37.5674834,126.9870578,0.080685183,0.107300392,0.109272113,0.224285023,"여의도","상암","양재","하남"
"중구","수표동",361,0,37.5674664,126.9894371,0.0828052,0.108252969,0.109677717,0.221934512,"여의도","양재","상암","하남"
"중구","소공동",629,1,37.5638976,126.9799891,0.072759001,0.100492439,0.10936856,0.230729353,"여의도","상암","양재","하남"
"중구","남창동",263,0,37.5580671,126.9775968,0.068106029,0.098805606,0.105603624,0.232353312,"여의도","상암","양재","하남"
"중구","북창동",255,0,37.5624854,126.9782509,0.070570854,0.098897461,0.109024387,0.23225616,"여의도","상암","양재","하남"
"중구","태평로2가",271,0,37.5632359,126.9764068,0.069274127,0.096987101,0.110620481,0.234184934,"여의도","상암","양재","하남"
"중구","남대문로2가",1469,0,37.5638636,126.9820397,0.074577181,0.102538189,0.108338282,0.228694702,"여의도","상암","양재","하남"
"중구","남대문로3가",45,0,37.5616684,126.9794385,0.071278137,0.100165712,0.107715845,0.230970427,"여의도","상암","양재","하남"
"중구","남대문로4가",163,0,37.5606911,126.9755026,0.067311082,0.096372142,0.108941665,0.234748136,"여의도","상암","양재","하남"
"중구","남대문로5가",1365,0,37.5563671,126.9763016,0.066248208,0.097795072,0.104880248,0.233450999,"여의도","상암","양재","하남"
"중구","봉래동1가",261,0,37.5589096,126.9729614,0.064245495,0.094096609,0.108851859,0.237055147,"여의도","상암","양재","하남"
"중구","봉래동2가",52,0,37.5567475,126.9713413,0.061856999,0.092842189,0.108004055,0.238423493,"여의도","상암","양재","하남"
"중구","회현동1가",1161,0,37.5571575,126.9816994,0.071547483,0.102682279,0.102998189,0.228173579,"여의도","양재","상암","하남"
"중구","회현동2가",1817,0,37.5585169,126.9827612,0.07303948,0.103321442,0.103853075,0.227277666,"여의도","양재","상암","하남"
"중구","회현동3가",49,0,37.560059,126.9840941,0.074862367,0.104014542,0.104976231,0.226145617,"여의도","양재","상암","하남"
"중구","충무로1가",183,0,37.5610267,126.9826398,0.073914473,0.103418701,0.10556561,0.227712614,"여의도","상암","양재","하남"
"중구","충무로2가",318,0,37.5617555,126.9877459,0.078886706,0.10382293,0.108417284,0.222749909,"여의도","양재","상암","하남"
"중구","명동1가",96,0,37.5644525,126.9844713,0.077020497,0.104912748,0.107712584,0.226373787,"여의도","상암","양재","하남"
"중구","명동2가",488,0,37.5630105,126.9852881,0.077144983,0.105849745,0.106056423,0.22535819,"여의도","상암","양재","하남"
"중구","남산동1가",92,0,37.5591789,126.9847188,0.075102144,0.102942528,0.105705647,0.225415336,"여의도","양재","상암","하남"
"중구","남산동2가",234,0,37.5583248,126.9858848,0.075870491,0.10163543,0.106973826,0.224153644,"여의도","양재","상암","하남"
"중구","남산동3가",91,0,37.5600001,126.9873836,0.077880369,0.102420316,0.108249303,0.222875684,"여의도","양재","상암","하남"
"중구","저동1가",80,0,37.5642498,126.9878913,0.08002782,0.10599681,0.108338098,0.222961227,"여의도","양재","상암","하남"
"중구","충무로4가",641,0,37.5623108,126.995975,0.086719286,0.100930606,0.11655608,0.214680832,"여의도","양재","상암","하남"
"중구","충무로5가",259,0,37.5625808,126.9995908,0.09019341,0.099873272,0.120134703,0.211143568,"여의도","양재","상암","하남"
"중구","인현동2가",202,0,37.5641432,126.9962711,0.087673847,0.102519652,0.116701802,0.214660867,"여의도","양재","상암","하남"
"중구","예관동",262,0,37.5640814,126.9980377,0.089287952,0.101822713,0.118468177,0.21290575,"여의도","양재","상암","하남"
"중구","묵정동",306,0,37.5614488,127.0005452,0.090699909,0.098482349,0.121185894,0.210034103,"여의도","양재","상암","하남"
"중구","필동1가",186,0,37.561147,126.9924128,0.082977719,0.101268798,0.113121892,0.218043648,"여의도","양재","상암","하남"
"중구","필동2가",529,0,37.5577913,126.9949767,0.084239238,0.097159552,0.116056811,0.215064585,"여의도","양재","상암","하남"
"중구","필동3가",428,0,37.5577553,126.9973738,0.086503003,0.096185315,0.118438906,0.212681508,"여의도","양재","상암","하남"
"중구","남학동",19,0,37.5605244,126.9909105,0.081351835,0.101333382,0.111693949,0.219447986,"여의도","양재","상암","하남"
"중구","주자동",28,0,37.5606513,126.989397,0.079991372,0.102102146,0.110175655,0.220964905,"여의도","양재","상암","하남"
"중구","예장동",383,0,37.5551793,126.9897761,0.078481025,0.09703898,0.111283587,0.219927065,"여의도","양재","상암","하남"
"중구","장충동1가",611,0,37.5610374,127.0076398,0.095898698,0.097280699,0.128288219,0.20295495,"양재","여의도","상암","하남"
"중구","장충동2가",797,1,37.55526,127.0003341,0.088603023,0.092765268,0.121709163,0.209444051,"여의도","양재","상암","하남"
"중구","광희동1가",241,0,37.5650378,127.0051836,0.096293499,0.100429776,0.125533802,0.206002836,"여의도","양재","상암","하남"
"중구","광희동2가",224,0,37.5639442,127.0083467,0.098508284,0.098886418,0.128761134,0.202704016,"양재","여의도","상암","하남"
"중구","쌍림동",300,0,37.5637681,127.0045496,0.095255279,0.099401456,0.124985673,0.206424549,"여의도","양재","상암","하남"
"중구","을지로6가",216,0,37.567505,127.0070795,0.098954644,0.102277039,0.127300979,0.204555497,"여의도","양재","상암","하남"
"중구","을지로7가",53,0,37.566416,127.0095181,0.100603021,0.10083534,0.12978602,0.20196355,"양재","여의도","상암","하남"
"중구","을지로4가",105,0,37.566393,126.9977069,0.089868859,0.104102727,0.117991463,0.21360058,"여의도","양재","상암","하남"
"중구","을지로5가",218,0,37.5668186,127.0021802,0.094156454,0.103027753,0.122437229,0.209261375,"여의도","양재","상암","하남"
"중구","주교동",167,0,37.5682735,126.998942,0.091754795,0.10544786,0.119139566,0.212701523,"여의도","양재","상암","하남"
"중구","방산동",38,0,37.5685483,127.0031304,0.095702795,0.104387445,0.123315492,0.208627221,"여의도","양재","상암","하남"
"중구","오장동",279,0,37.5644435,127.0010469,0.092219417,0.101137458,0.121444278,0.209989935,"여의도","양재","상암","하남"
"중구","을지로3가",393,0,37.5665987,126.9924032,0.085108551,0.106263939,0.112684402,0.218866915,"여의도","양재","상암","하남"
"중구","입정동",181,0,37.5677264,126.992771,0.085919978,0.107159483,0.112996059,0.218689142,"여의도","양재","상암","하남"
"중구","산림동",177,0,37.5676122,126.9961709,0.088956254,0.105787123,0.116397685,0.215318272,"여의도","양재","상암","하남"
"중구","충무로3가",240,1,37.5622482,126.9919612,0.08296732,0.102458264,0.112564752,0.218644327,"여의도","양재","상암","하남"
"중구","초동",146,0,37.564601,126.9923477,0.084238979,0.104451831,0.11275547,0.218608142,"여의도","양재","상암","하남"
"중구","인현동1가",117,0,37.5645365,126.9945521,0.086238471,0.103530138,0.114958818,0.21641986,"여의도","양재","상암","하남"
"중구","저동2가",238,0,37.5643088,126.9899006,0.081882547,0.105189374,0.110336816,0.220983053,"여의도","양재","상암","하남"
"중구","신당동",19799,0,37.556819,127.0154305,0.089914948,0.103579902,0.136475751,0.194653282,"양재","여의도","상암","하남"
"중구","흥인동",667,0,37.5676493,127.0160091,0.100427671,0.107350608,0.13621807,0.195800316,"양재","여의도","상암","하남"
"중구","무학동",104,0,37.5642292,127.0152228,0.09721553,0.105481757,0.135603828,0.195968744,"양재","여의도","상암","하남"
"중구","황학동",3303,0,37.5685914,127.0204705,0.100652569,0.111866728,0.140645551,0.191599728,"양재","여의도","상암","하남"
"중구","서소문동",1296,0,37.5629167,126.9739582,0.066965361,0.094583179,0.111648678,0.236567923,"여의도","상암","양재","하남"
"중구","정동",357,0,37.5661453,126.9733062,0.068009831,0.093652325,0.114725841,0.237666425,"여의도","상암","양재","하남"
"중구","순화동",1337,1,37.5623459,126.9708088,0.063934441,0.091514419,0.112904022,0.239614665,"여의도","상암","양재","하남"
"중구","의주로1가",58,0,37.5637065,126.9684915,0.062629675,0.089064294,0.11533592,0.242091149,"여의도","상암","양재","하남"
"중구","충정로1가",33,0,37.5668791,126.9680884,0.064015149,0.088396578,0.118183233,0.242935423,"여의도","상암","양재","하남"
"중구","중림동",1846,0,37.5591646,126.9655627,0.057802312,0.086744756,0.113378082,0.24443386,"여의도","상암","양재","하남"
"중구","의주로2가",3,0,37.5606655,126.9695132,0.061985206,0.090436209,0.112257493,0.240688333,"여의도","상암","양재","하남"
"중구","만리동1가",585,0,37.5558883,126.9669832,0.057548234,0.088711519,0.109913044,0.242668384,"여의도","상암","양재","하남"
"중구","만리동2가",1540,0,37.5542553,126.9643231,0.054443758,0.086435659,0.110288951,0.245156368,"여의도","상암","양재","하남"
"용산구","후암동",4071,0,37.5503851,126.9805049,0.06820213,0.097572347,0.103071243,0.228694856,"여의도","양재","상암","하남"
"용산구","용산동2가",2281,0,37.5430767,126.9858631,0.07175687,0.088523036,0.1100489,0.222849202,"여의도","양재","상암","하남"
"용산구","용산동4가",7,0,37.5305892,126.9858834,0.070735031,0.078338969,0.114068915,0.222516623,"여의도","양재","상암","하남"
