"자치구","동","동별총대수","수소차대수","고유번호","읍면동코드","읍면동영문명","위도","경도","여의도","양재","상암","하남"
"종로구","행촌동",924,NA,258,11110181,"Haengchon-dong",37.5744857,126.9626521,0.064477158,0.127529472,0.082784614,0.249518845
"종로구","구기동",1954,NA,196,11110182,"Gugi-dong",37.6179518,126.9621624,0.098946274,0.165543706,0.093882719,0.261050259
"종로구","평창동",4547,NA,197,11110183,"Pyeongchang-dong",37.6139675,126.9743016,0.101986437,0.156948151,0.10302633,0.248276986
"종로구","부암동",1439,NA,241,11110184,"Buam-dong",37.5934957,126.9672852,0.081473354,0.141420622,0.089831102,0.249015359
"종로구","홍지동",532,NA,259,11110185,"Hongji-dong",37.6005798,126.956785,0.081181916,0.152740697,0.081785018,0.260987136
"종로구","신영동",1129,NA,269,11110186,"Sinyeong-dong",37.6030533,126.9618054,0.085933987,0.152433611,0.087349799,0.256830892
"종로구","무악동",2796,NA,282,11110187,"Muak-dong",37.5767914,126.9582275,0.062951404,0.131940206,0.078446447,0.254280403
"중구","무교동",252,NA,27,11140101,"Mugyo-dong",37.5680651,126.9788674,0.073771073,0.113550089,0.099091501,0.232463065
"중구","다동",189,NA,84,11140102,"Da-dong",37.5678826,126.9811936,0.075699997,0.112275364,0.101423743,0.230137384
"중구","태평로1가",973,NA,80,11140103,"Taepyeongno 1(il)-ga",37.5675677,126.9773826,0.072238642,0.113848599,0.097633437,0.233851525
"중구","을지로1가",117,NA,61,11140104,"Euljiro 1(il)-ga",37.5659055,126.9805717,0.074204818,0.110834921,0.100917056,0.230445899
"중구","을지로2가",1092,NA,112,11140105,"Euljiro 2(i)-ga",37.5657158,126.986263,0.079184447,0.108029434,0.106608327,0.224791746
"중구","남대문로1가",18,NA,10,11140106,"Namdaemunno 1(il)-ga",37.5675948,126.9831121,0.077242295,0.111127909,0.103354,0.228197534
"중구","삼각동",62,NA,134,11140107,"Samgak-dong",37.5679302,126.9847933,0.078882527,0.110666315,0.105017273,0.226591967
"중구","수하동",187,NA,76,11140108,"Suha-dong",37.5674173,126.984642,0.078509024,0.110275258,0.104890884,0.226658898
"중구","장교동",158,NA,18,11140109,"Janggyo-dong",37.5674834,126.9870578,0.080685183,0.109272113,0.107300392,0.224285023
"중구","수표동",361,NA,8,11140110,"Supyo-dong",37.5674664,126.9894371,0.0828052,0.108252969,0.109677717,0.221934512
"중구","소공동",629,1,113,11140111,"Sogong-dong",37.5638976,126.9799891,0.072759001,0.10936856,0.100492439,0.230729353
"중구","남창동",263,NA,187,11140112,"Namchang-dong",37.5580671,126.9775968,0.068106029,0.105603624,0.098805606,0.232353312
"중구","북창동",255,NA,188,11140113,"Bukchang-dong",37.5624854,126.9782509,0.070570854,0.109024387,0.098897461,0.23225616
"중구","태평로2가",271,NA,194,11140114,"Taepyeongno 2(i)-ga",37.5632359,126.9764068,0.069274127,0.110620481,0.096987101,0.234184934
"중구","남대문로2가",1469,NA,77,11140115,"Namdaemunno 2(i)-ga",37.5638636,126.9820397,0.074577181,0.108338282,0.102538189,0.228694702
"중구","남대문로3가",45,NA,142,11140116,"Namdaemunno 3(sam)-ga",37.5616684,126.9794385,0.071278137,0.107715845,0.100165712,0.230970427
"중구","남대문로4가",163,NA,79,11140117,"Namdaemunno 4(sa)-ga",37.5606911,126.9755026,0.067311082,0.108941665,0.096372142,0.234748136
"중구","남대문로5가",1365,NA,143,11140118,"Namdaemunno 5(o)-ga",37.5563671,126.9763016,0.066248208,0.104880248,0.097795072,0.233450999
"중구","봉래동1가",261,NA,126,11140119,"Bongnae-dong 1(il)-ga",37.5589096,126.9729614,0.064245495,0.108851859,0.094096609,0.237055147
"중구","봉래동2가",52,NA,89,11140120,"Bongnae-dong 2(i)-ga",37.5567475,126.9713413,0.061856999,0.108004055,0.092842189,0.238423493
"중구","회현동1가",1161,NA,148,11140121,"Hoehyeon-dong 1(il)-ga",37.5571575,126.9816994,0.071547483,0.102682279,0.102998189,0.228173579
"중구","회현동2가",1817,NA,103,11140122,"Hoehyeon-dong 2(i)-ga",37.5585169,126.9827612,0.07303948,0.103321442,0.103853075,0.227277666
"중구","회현동3가",49,NA,11,11140123,"Hoehyeon-dong 3(sam)-ga",37.560059,126.9840941,0.074862367,0.104014542,0.104976231,0.226145617
"중구","충무로1가",183,NA,167,11140124,"Chungmuro 1(il)-ga",37.5610267,126.9826398,0.073914473,0.10556561,0.103418701,0.227712614
"중구","충무로2가",318,NA,160,11140125,"Chungmuro 2(i)-ga",37.5617555,126.9877459,0.078886706,0.10382293,0.108417284,0.222749909
"중구","명동1가",96,NA,161,11140126,"Myeong-dong 1(il)-ga",37.5644525,126.9844713,0.077020497,0.107712584,0.104912748,0.226373787
"중구","명동2가",488,NA,168,11140127,"Myeong-dong 2(i)-ga",37.5630105,126.9852881,0.077144983,0.106056423,0.105849745,0.22535819
"중구","남산동1가",92,NA,185,11140128,"Namsan-dong 1(il)-ga",37.5591789,126.9847188,0.075102144,0.102942528,0.105705647,0.225415336
"중구","남산동2가",234,NA,177,11140129,"Namsan-dong 2(i)-ga",37.5583248,126.9858848,0.075870491,0.10163543,0.106973826,0.224153644
"중구","남산동3가",91,NA,17,11140130,"Namsan-dong 3(sam)-ga",37.5600001,126.9873836,0.077880369,0.102420316,0.108249303,0.222875684
"중구","저동1가",80,NA,111,11140131,"Jeo-dong 1(il)-ga",37.5642498,126.9878913,0.08002782,0.10599681,0.108338098,0.222961227
