고유번호,읍면동코드,읍면동명,읍면동영문명,위도,경도,여의도,양재,상암,하남
68,11650106,잠원동,Jamwon-dong,37.5153035,127.0093893,0.095520211,0.052613422,0.141666799,0.199648687
69,11110146,가회동,Gahoe-dong,37.5828064,126.9848647,0.0869241,0.124131273,0.105460706,0.229399656
53,11170125,한강로2가,Hangangno 2(i)-ga,37.5312807,126.9686035,0.053455942,0.090492086,0.097924735,0.239795501
54,11170130,이태원동,Itaewon-dong,37.538862,126.9922782,0.0775403,0.081550311,0.117385633,0.216254317
60,11200118,송정동,Songjeong-dong,37.5541037,127.0621614,0.148834185,0.089724818,0.183225126,0.148010431
57,11170128,한강로3가,Hangangno 3(sam)-ga,37.5280446,126.9632299,0.048164903,0.092349648,0.094569749,0.245190237
58,11170129,이촌동,Ichon-dong,37.5188354,126.9651352,0.051418726,0.085186992,0.100859273,0.243581088
128,11170114,신창동,Sinchang-dong,37.5358397,126.9549627,0.040120444,0.10369379,0.083652699,0.253477603
134,11140107,삼각동,Samgak-dong,37.5679302,126.9847933,0.078882527,0.110666315,0.105017273,0.226591967
142,11140116,남대문로3가,Namdaemunno 3(sam)-ga,37.5616684,126.9794385,0.071278137,0.107715845,0.100165712,0.230970427
146,11110122,청진동,Cheongjin-dong,37.5715373,126.9802938,0.076786786,0.115926317,0.100414943,0.23163316
152,11110143,화동,Hwa-dong,37.5806863,126.9826101,0.083850287,0.12311452,0.103031373,0.231134574
162,11110171,명륜2가,Myeongnyun 2(i)-ga,37.5846181,126.9991752,0.099736282,0.120910962,0.119879612,0.215919565
170,11110106,통의동,Tongui-dong,37.5779984,126.9727225,0.074391516,0.125219362,0.092985586,0.240265513
174,11110157,인의동,Inui-dong,37.5726289,126.9980205,0.092790022,0.109862666,0.118134548,0.214406549
183,11110170,명륜1가,Myeongnyun 1(il)-ga,37.5889535,126.9974079,0.100688276,0.125572925,0.118635731,0.218735737
188,11140113,북창동,Bukchang-dong,37.5624854,126.9782509,0.070570854,0.109024387,0.098897461,0.23225616
100,11110133,익선동,Ikseon-dong,37.574232,126.9897103,0.086244361,0.114342734,0.109834502,0.222869909
103,11140122,회현동2가,Hoehyeon-dong 2(i)-ga,37.5585169,126.9827612,0.07303948,0.103321442,0.103853075,0.227277666
104,11200107,행당동,Haengdang-dong,37.5591737,127.0352497,0.123386624,0.090310641,0.155954442,0.175384239
203,11140157,산림동,Sallim-dong,37.5676122,126.9961709,0.088956254,0.105787123,0.116397685,0.215318272
105,11200109,금호동1가,Geumho-dong 1(il)-ga,37.5530419,127.0213783,0.108514789,0.085132336,0.142856183,0.18828441
106,11110148,계동,Gye-dong,37.5829045,126.9868772,0.088603899,0.123437005,0.107473418,0.227461313
109,11110154,장사동,Jangsa-dong,37.5692358,126.9942544,0.087910284,0.107997024,0.114421918,0.217485097
108,11140132,충무로4가,Chungmuro 4(sa)-ga,37.5623108,126.995975,0.086719286,0.100930606,0.11655608,0.214680832
110,11110158,예지동,Yeji -dong,37.5695052,126.9984621,0.091827887,0.106769109,0.118620079,0.213391404
111,11140131,저동1가,Jeo-dong 1(il)-ga,37.5642498,126.9878913,0.08002782,0.10599681,0.108338098,0.222961227
112,11140105,을지로2가,Euljiro 2(i)-ga,37.5657158,126.986263,0.079184447,0.108029434,0.106608327,0.224791746
82,11110130,와룡동,Waryong-dong,37.5809142,126.9927443,0.092323622,0.119443204,0.113154298,0.221296389
83,11305104,우이동,Ui-dong,37.6632405,126.9992181,0.156795401,0.197480966,0.149771144,0.247334683
89,11140120,봉래동2가,Bongnae-dong 2(i)-ga,37.5567475,126.9713413,0.061856999,0.108004055,0.092842189,0.238423493
90,11110152,봉익동,Bongik-dong,37.572373,126.9930161,0.088228626,0.111369762,0.113130679,0.219270936
91,11110108,통인동,Tongin-dong,37.5798178,126.9700651,0.073552045,0.128116064,0.090456819,0.243229356
93,11110105,창성동,Changseong-dong,37.580573,126.9723675,0.075779654,0.127640772,0.092813049,0.241127034
94,11140133,충무로5가,Chungmuro 5(o)-ga,37.5625808,126.9995908,0.09019341,0.099873272,0.120134703,0.211143568
95,11170134,주성동,Juseong-dong,37.5215716,127.0002868,0.085646017,0.062632426,0.130820664,0.20833778
96,11140159,초동,Cho-dong,37.564601,126.9923477,0.084238979,0.104451831,0.11275547,0.218608142
98,11440107,마포동,Mapo-dong,37.536882,126.943622,0.029097075,0.113213649,0.073128075,0.264836594
99,11110127,공평동,Gongpyeong-dong,37.5713261,126.9832335,0.079187998,0.114401513,0.103357103,0.228701715
102,11470102,목동,Mok-dong,37.5367323,126.8764165,0.039170938,0.17169403,0.036169488,0.332027533
107,11110138,종로2가,Jongno 2(i)-ga,37.5707645,126.9863062,0.081568881,0.11255934,0.106438442,0.225578149
118,11110120,신문로1가,Sinmunno 1(il)-ga,37.5703732,126.9740722,0.070929715,0.11793998,0.094215807,0.237568051
121,11200115,성수동2가,Seongsu-dong 2(i)-ga,37.5407489,127.0571063,0.142299376,0.075461822,0.180083718,0.151589724
122,11320106,방학동,Banghak-dong,37.6646494,127.0334847,0.178592973,0.195780463,0.17899949,0.219969719
123,11350102,월계동,Wolgye-dong,37.6295557,127.0562532,0.172179297,0.162201511,0.18529431,0.181134212
129,11140136,묵정동,Mukjeong-dong,37.5614488,127.0005452,0.090699909,0.098482349,0.121185894,0.210034103
130,11140149,을지로7가,Euljiro 7(chil)-ga,37.566416,127.0095181,0.10083534,0.100603021,0.12978602,0.20196355
131,11140156,입정동,Ipjeong-dong,37.5677264,126.992771,0.085919978,0.107159483,0.112996059,0.218689142
132,11140172,의주로2가,Uijuro 2(i)-ga,37.5606655,126.9695132,0.061985206,0.112257493,0.090436209,0.240688333
133,11140173,만리동1가,Malli-dong 1(il)-ga,37.5558883,126.9669832,0.057548234,0.109913044,0.088711519,0.242668384
135,11140150,을지로4가,Euljiro 4(sa)-ga,37.566393,126.9977069,0.089868859,0.104102727,0.117991463,0.21360058
136,11140167,정동,Jeong-dong,37.5661453,126.9733062,0.068009831,0.114725841,0.093652325,0.237666425
137,11110155,관수동,Gwansu-dong,37.5690609,126.9904495,0.084423549,0.109298685,0.11062453,0.2212026
138,11200101,상왕십리동,Sangwangsimni-dong,37.5684665,127.0255499,0.116621192,0.099965399,0.145726428,0.186595336
139,11170122,문배동,Munbae-dong,37.5371288,126.9690034,0.054214795,0.094343722,0.095967247,0.239467428
140,11170123,신계동,Singye-dong,37.535453,126.9646994,0.049760239,0.096197215,0.092645887,0.2437356
141,11170126,용산동3가,Yongsan-dong 3(sam)-ga,37.5321655,126.9762897,0.061154045,0.085742758,0.104592341,0.232111051
124,11110173,명륜3가,Myeongnyun 3(sam)-ga,37.5873096,126.9930707,0.096203889,0.125354717,0.114119215,0.222502553
125,11140170,충정로1가,Chungjeongno 1(il)-ga,37.5668791,126.9680884,0.064015149,0.118183233,0.088396578,0.242935423
126,11140119,봉래동1가,Bongnae-dong 1(il)-ga,37.5589096,126.9729614,0.064245495,0.108851859,0.094096609,0.237055147
127,11110101,청운동,Cheongun-dong,37.5890286,126.9685157,0.078919795,0.136906265,0.090114955,0.246740241
113,11140111,소공동,Sogong-dong,37.5638976,126.9799891,0.072759001,0.10936856,0.100492439,0.230729353
114,11170121,용문동,Yongmun-dong,37.5377219,126.9597098,0.045081782,0.101385158,0.087165109,0.248773034
115,11650108,서초동,Seocho-dong,37.4885178,127.0171248,0.110427794,0.025984859,0.16101871,0.195992493
119,11410103,합동,Hap-dong,37.5613616,126.9662486,0.059496298,0.11472829,0.087108283,0.244013692
116,11170124,한강로1가,Hangangno 1(il)-ga,37.5358426,126.9730991,0.058161518,0.090609602,0.100248348,0.235344442
117,11170132,동빙고동,Dongbinggo-dong,37.5235803,126.995177,0.080360956,0.067160652,0.125332355,0.213360401
120,11200114,성수동1가,Seongsu-dong 1(il)-ga,37.5431193,127.0416554,0.127096318,0.074629687,0.164457984,0.167164519
151,11170135,용산동6가,Yongsan-dong 6(yuk)-ga,37.5168611,126.9842128,0.070473842,0.069245018,0.118346837,0.224648383
153,11170136,보광동,Bogwang-dong,37.5268849,127.0017003,0.086643825,0.06646363,0.130157425,0.206745082
154,11140138,필동2가,Pildong 2(i)-ga,37.5577913,126.9949767,0.084239238,0.097159552,0.116056811,0.215064585
155,11140139,필동3가,Pil-dong 3(sam)-ga,37.5577553,126.9973738,0.086503003,0.096185315,0.118438906,0.212681508
156,11140142,예장동,Yejang-dong,37.5551793,126.9897761,0.078481025,0.09703898,0.111283587,0.219927065
157,11200105,마장동,Majang-dong,37.5670762,127.0407445,0.13070507,0.098428702,0.160958004,0.171436709
158,11110161,종로4가,Jongno 4(sa)-ga,37.5706899,126.9979792,0.091896862,0.108047084,0.118110907,0.214081512
159,11305102,번동,Beon-dong,37.6292269,127.036379,0.156100135,0.16037267,0.166377264,0.197958607
160,11140125,충무로2가,Chungmuro 2(i)-ga,37.5617555,126.9877459,0.078886706,0.10382293,0.108417284,0.222749909
161,11140126,명동1가,Myeong-dong 1(il)-ga,37.5644525,126.9844713,0.077020497,0.107712584,0.104912748,0.226373787
163,11110176,교남동,Gyonam-dong,37.5684349,126.9644739,0.06198964,0.121511899,0.084697129,0.246741019
164,11110135,관철동,Gwancheol-dong,37.5691978,126.9859065,0.080462815,0.111315648,0.10607949,0.225703092
165,11110136,인사동,Insa-dong,37.5720605,126.9859554,0.081906783,0.113881831,0.106071545,0.22615373
166,11110137,낙원동,Nagwon-dong,37.5725546,126.9886246,0.084467564,0.113230904,0.10873875,0.223619544
167,11140124,충무로1가,Chungmuro 1(il)-ga,37.5610267,126.9826398,0.073914473,0.10556561,0.103418701,0.227712614
143,11140118,남대문로5가,Namdaemunno 5(o)-ga,37.5563671,126.9763016,0.066248208,0.104880248,0.097795072,0.233450999
144,11320105,쌍문동,Ssangmun-dong,37.6525541,127.0273717,0.165519105,0.183808387,0.167699494,0.217904042
145,11200113,옥수동,Oksu-dong,37.5420259,127.0219996,0.107429528,0.074154786,0.145393687,0.186709814
147,11110140,삼청동,Samcheong-dong,37.5898785,126.9813798,0.088692716,0.132006215,0.102931487,0.23446402
148,11140121,회현동1가,Hoehyeon-dong 1(il)-ga,37.5571575,126.9816994,0.071547483,0.102682279,0.102998189,0.228173579
149,11140161,저동2가,Jeo-dong 2(i)-ga,37.5643088,126.9899006,0.081882547,0.105189374,0.110336816,0.220983053
150,11170131,한남동,Hannam-dong,37.5374384,127.0060971,0.091183686,0.074077452,0.131053774,0.202396102
178,11140135,예관동,Yegwan-dong,37.5640814,126.9980377,0.089287952,0.101822713,0.118468177,0.21290575
179,11110174,창신동,Changsin-dong,37.5760033,127.0135246,0.108227302,0.109096867,0.133678559,0.199944084
180,11200122,용답동,Yongdap-dong,37.5624296,127.0550851,0.143446801,0.095877604,0.175501926,0.156449502
181,11215105,자양동,Jayang-dong,37.5323755,127.0744811,0.159339043,0.075240679,0.198736364,0.133922513
182,11110175,숭인동,Sungin-dong,37.5766752,127.0190652,0.113556349,0.108852696,0.139234963,0.194703531
184,11560122,문래동4가,Mullae-dong 4(sa)-ga,37.5144685,126.8901537,0.029905936,0.151024495,0.059164269,0.318688186
191,11110139,팔판동,Palpan-dong,37.5827295,126.9805795,0.083478689,0.125823852,0.101188295,0.233560318
192,11200110,금호동2가,Geumho-dong 2(i)-ga,37.5525166,127.0217884,0.108810652,0.084552166,0.143335532,0.187816903
193,11110149,원서동,Wonseo-dong,37.5841834,126.9880867,0.090334422,0.12416588,0.108804675,0.226578844
194,11140114,태평로2가,Taepyeongno 2(i)-ga,37.5632359,126.9764068,0.069274127,0.110620481,0.096987101,0.234184934
195,11110103,궁정동,Gungjeong-dong,37.5849071,126.9724095,0.078719934,0.131430699,0.093320727,0.242009558
196,11110182,구기동,Gugi-dong,37.6179518,126.9621624,0.098946274,0.165543706,0.093882719,0.261050259
197,11110183,평창동,Pyeongchang-dong,37.6139675,126.9743016,0.101986437,0.156948151,0.10302633,0.248276986
204,11110117,당주동,Dangju-dong,37.5715788,126.9738252,0.071404745,0.119104015,0.093946315,0.238012921
185,11140128,남산동1가,Namsan-dong 1(il)-ga,37.5591789,126.9847188,0.075102144,0.102942528,0.105705647,0.225415336
186,11200112,금호동4가,Geumho-dong 4(sa)-ga,37.5452026,127.0229976,0.108794431,0.077140107,0.145735936,0.185924618
187,11140112,남창동,Namchang-dong,37.5580671,126.9775968,0.068106029,0.105603624,0.098805606,0.232353312
189,11170127,용산동5가,Yongsan-dong 5(o)-ga,37.5256032,126.9740049,0.059092691,0.082666097,0.105260505,0.234462446
190,11110132,운니동,Unni-dong,37.576392,126.9883159,0.086162691,0.116875627,0.108491552,0.224662207
168,11140127,명동2가,Myeong-dong 2(i)-ga,37.5630105,126.9852881,0.077144983,0.106056423,0.105849745,0.22535819
169,11140134,인현동2가,Inhyeon-dong 2(i)-ga,37.5641432,126.9962711,0.087673847,0.102519652,0.116701802,0.214660867
171,11110115,사직동,Sajik-dong,37.5753838,126.9658263,0.067439343,0.12653294,0.08598111,0.246552371
172,11110169,혜화동,Hyehwa-dong,37.587822,127.0023228,0.104118931,0.123131134,0.123362829,0.213696531
173,11110150,훈정동,Hunjeong-dong,37.5742191,126.9940707,0.090034543,0.112708386,0.114194344,0.218590395
175,11110131,권농동,Gwonnong-dong,37.576109,126.9917564,0.0889586,0.11530709,0.111921268,0.221235373
176,11110134,경운동,Gyeongun-dong,37.5752459,126.9864008,0.083931176,0.116592918,0.106544391,0.226313076
177,11140129,남산동2가,Namsan-dong 2(i)-ga,37.5583248,126.9858848,0.075870491,0.10163543,0.106973826,0.224153644
199,11170101,후암동,Huam-dong,37.5503851,126.9805049,0.06820213,0.097572347,0.103071243,0.228694856
